,recording,channel_num,input_Vpp,gain_position,rms,dBrms,measured_vrms,measured_rel_maxrms,input_vrms
46,ff802_ch10_500mVpp_pos4-8_gain.wav,10,0.5,5,0.3580864555449183,-8.92024211331951,,0.5064107219337338,0.17677669529663687
47,ff802_ch10_500mVpp_pos4-8_gain.wav,10,0.5,6,0.5443620686959291,-5.28224288355371,,0.7698442203912573,0.17677669529663687
48,ff802_ch10_1000mVpp_pos0-4_gain.wav,10,1.0,0,0.026989533567941672,-31.37609241677593,,0.03816896441390702,0.35355339059327373
49,ff802_ch10_1000mVpp_pos0-4_gain.wav,10,1.0,1,0.031328907422337786,-30.08109501249907,,0.04430576577100122,0.35355339059327373
50,ff802_ch10_1000mVpp_pos0-4_gain.wav,10,1.0,2,0.06338258262586058,-23.960601375079516,,0.08963650796772532,0.35355339059327373
51,ff802_ch10_1000mVpp_pos0-4_gain.wav,10,1.0,3,0.16188246476580875,-15.816003836283887,,0.22893637718219143,0.35355339059327373
52,ff802_ch10_1000mVpp_pos0-4_gain.wav,10,1.0,4,0.38788531427452644,-8.225933258232011,,0.5485526720923856,0.35355339059327373
53,ff802_ch11_100mVpp_pos0-4_gain.wav,11,0.1,0,0.0027225974687602873,-51.30033127175938,,0.003850334265203457,0.035355339059327376
54,ff802_ch11_100mVpp_pos0-4_gain.wav,11,0.1,1,0.002902871571313823,-50.74344355552307,,0.004105280345979305,0.035355339059327376
55,ff802_ch11_100mVpp_pos0-4_gain.wav,11,0.1,2,0.004850912390164256,-46.28353137745115,,0.006860226092053977,0.035355339059327376
56,ff802_ch11_100mVpp_pos0-4_gain.wav,11,0.1,3,0.014315457095621638,-36.88389560609691,,0.020245113576198275,0.035355339059327376
57,ff802_ch11_100mVpp_pos0-4_gain.wav,11,0.1,4,0.03916288942571367,-28.14250547151971,,0.05538468936756214,0.035355339059327376
58,ff802_ch11_100mVpp_pos4-8_gain.wav,11,0.1,4,0.038900894376512514,-28.200808272550653,,0.05501417241570726,0.035355339059327376
59,ff802_ch11_100mVpp_pos4-8_gain.wav,11,0.1,5,0.0696796948848696,-23.137875193907863,,0.09854196952820175,0.035355339059327376
60,ff802_ch11_100mVpp_pos4-8_gain.wav,11,0.1,6,0.10684211217022245,-19.425150699272137,,0.1510975640637161,0.035355339059327376
61,ff802_ch11_100mVpp_pos4-8_gain.wav,11,0.1,7,0.2820580822984883,-10.993229023374225,,0.3988903653634687,0.035355339059327376
62,ff802_ch11_200mVpp_pos0-4_gain.wav,11,0.2,0,0.005434709562509864,-45.29647320365919,,0.0076858399708601985,0.07071067811865475
63,ff802_ch11_200mVpp_pos0-4_gain.wav,11,0.2,1,0.005859677031856913,-44.64252640710492,,0.008286834729578169,0.07071067811865475
64,ff802_ch11_200mVpp_pos0-4_gain.wav,11,0.2,2,0.009060616395609906,-40.85684512349222,,0.012813646590131558,0.07071067811865475
65,ff802_ch11_200mVpp_pos0-4_gain.wav,11,0.2,3,0.02893275939688371,-30.7722028903371,,0.04091710073595055,0.07071067811865475
66,ff802_ch11_200mVpp_pos0-4_gain.wav,11,0.2,4,0.07449785384177107,-22.557124767343296,,0.10535587527072122,0.07071067811865475
67,ff802_ch11_200mVpp_pos4-8_gain.wav,11,0.2,4,0.07470693411807051,-22.532781722874667,,0.10565155943308861,0.07071067811865475
68,ff802_ch11_200mVpp_pos4-8_gain.wav,11,0.2,5,0.1397996150241124,-17.08988049071002,,0.19770651158163724,0.07071067811865475
69,ff802_ch11_200mVpp_pos4-8_gain.wav,11,0.2,6,0.20960787621481886,-13.571848047089956,,0.2964303013232177,0.07071067811865475
70,ff802_ch11_200mVpp_pos4-8_gain.wav,11,0.2,7,0.4886892765923789,-6.219343813578274,,0.6911110027432389,0.07071067811865475
71,ff802_ch11_500mVpp_pos0-4_gain.wav,11,0.5,0,0.013601943288451436,-37.32798080441808,,0.019236052673157717,0.17677669529663687
72,ff802_ch11_500mVpp_pos0-4_gain.wav,11,0.5,1,0.014680978318705861,-36.664900054259256,,0.020762038647219185,0.17677669529663687
73,ff802_ch11_500mVpp_pos0-4_gain.wav,11,0.5,2,0.024945054828909675,-32.060310743001295,,0.035277634853184525,0.17677669529663687
74,ff802_ch11_500mVpp_pos0-4_gain.wav,11,0.5,3,0.07176480550281568,-22.881769756726534,,0.10149076124314925,0.17677669529663687
75,ff802_ch11_500mVpp_pos0-4_gain.wav,11,0.5,4,0.19202212382301445,-14.332974623770136,,0.2715602917861928,0.17677669529663687
76,ff802_ch11_500mVpp_pos4-8_gain.wav,11,0.5,4,0.19187911089541548,-14.339446051580541,,0.27135804096438765,0.17677669529663687
77,ff802_ch11_500mVpp_pos4-8_gain.wav,11,0.5,5,0.3521112617583041,-9.06640168881087,,0.4979605218428966,0.17677669529663687
78,ff802_ch11_500mVpp_pos4-8_gain.wav,11,0.5,6,0.5217483162024763,-5.6507788764970535,,0.737863544918868,0.17677669529663687
79,ff802_ch12_100mVpp_pos0-4_gain.wav,12,0.1,0,0.002753792943994552,-51.20137434375448,,0.0038944513293644283,0.035355339059327376
80,ff802_ch12_100mVpp_pos0-4_gain.wav,12,0.1,1,0.003038196355918249,-50.34768323003042,,0.004296658491692102,0.035355339059327376
81,ff802_ch12_100mVpp_pos0-4_gain.wav,12,0.1,2,0.004687246304669214,-46.58164449286369,,0.0066287672942463745,0.035355339059327376
82,ff802_ch12_100mVpp_pos0-4_gain.wav,12,0.1,3,0.015080433308327888,-36.431723592783534,,0.02132695331110026,0.035355339059327376
83,ff802_ch12_100mVpp_pos0-4_gain.wav,12,0.1,4,0.041287039996109096,-27.683725040222825,,0.0583886919127379,0.035355339059327376
84,ff802_ch12_100mVpp_pos4-8_gain.wav,12,0.1,4,0.04048233380819248,-27.854689167039375,,0.05725066550806067,0.035355339059327376
85,ff802_ch12_100mVpp_pos4-8_gain.wav,12,0.1,5,0.07292345333843062,-22.742655464545066,,0.10312933672629013,0.035355339059327376
86,ff802_ch12_100mVpp_pos4-8_gain.wav,12,0.1,6,0.11847378542142747,-18.527554698779408,,0.1675472341286626,0.035355339059327376
87,ff802_ch12_100mVpp_pos4-8_gain.wav,12,0.1,7,0.28556254938133413,-10.885974989983712,,0.4038464302409194,0.035355339059327376
88,ff802_ch12_200mVpp_pos0-4_gain.wav,12,0.2,0,0.005439987374800356,-45.28804216434854,,0.007693303924581073,0.07071067811865475
89,ff802_ch12_200mVpp_pos0-4_gain.wav,12,0.2,1,0.005841515953229548,-44.66948865813899,,0.008261151085876025,0.07071067811865475
90,ff802_ch12_200mVpp_pos0-4_gain.wav,12,0.2,2,0.009151902592119223,-40.769772218421025,,0.012942744767292489,0.07071067811865475
91,ff802_ch12_200mVpp_pos0-4_gain.wav,12,0.2,3,0.029643858240074563,-30.56130544480801,,0.04192274636417887,0.07071067811865475
92,ff802_ch12_200mVpp_pos0-4_gain.wav,12,0.2,4,0.07695208829763517,-22.275591798954572,,0.10882668692344759,0.07071067811865475
93,ff802_ch12_200mVpp_pos4-8_gain.wav,12,0.2,4,0.07664630133176294,-22.310175955125573,,0.10839423884911416,0.07071067811865475
94,ff802_ch12_200mVpp_pos4-8_gain.wav,12,0.2,5,0.1505643774981778,-16.445555341717565,,0.2129301846681855,0.07071067811865475
95,ff802_ch12_200mVpp_pos4-8_gain.wav,12,0.2,6,0.22674658874664752,-12.889184757873444,,0.3206681010273435,0.07071067811865475
96,ff802_ch12_200mVpp_pos4-8_gain.wav,12,0.2,7,0.5372539619776432,-5.396407462428536,,0.7597918394674621,0.07071067811865475
97,ff802_ch12_500mVpp_pos0-4_gain.wav,12,0.5,0,0.01361112757607151,-37.322117907716844,,0.01924904121727076,0.17677669529663687
98,ff802_ch12_500mVpp_pos0-4_gain.wav,12,0.5,1,0.014750928140575178,-36.62361305317575,,0.020860962633992355,0.17677669529663687
